;Abs Path;Rel Path;Item Class
0;C:\Users\kiril\Desktop\3labAP\dataset_2\tiger_0000.jpg;dataset_2\tiger_0000.jpg;tiger
1;C:\Users\kiril\Desktop\3labAP\dataset_2\tiger_0001.jpg;dataset_2\tiger_0001.jpg;tiger
2;C:\Users\kiril\Desktop\3labAP\dataset_2\tiger_0002.jpg;dataset_2\tiger_0002.jpg;tiger
3;C:\Users\kiril\Desktop\3labAP\dataset_2\tiger_0003.jpg;dataset_2\tiger_0003.jpg;tiger
4;C:\Users\kiril\Desktop\3labAP\dataset_2\tiger_0004.jpg;dataset_2\tiger_0004.jpg;tiger
5;C:\Users\kiril\Desktop\3labAP\dataset_2\tiger_0005.jpg;dataset_2\tiger_0005.jpg;tiger
6;C:\Users\kiril\Desktop\3labAP\dataset_2\tiger_0006.jpg;dataset_2\tiger_0006.jpg;tiger
7;C:\Users\kiril\Desktop\3labAP\dataset_2\tiger_0007.jpg;dataset_2\tiger_0007.jpg;tiger
8;C:\Users\kiril\Desktop\3labAP\dataset_2\tiger_0008.jpg;dataset_2\tiger_0008.jpg;tiger
9;C:\Users\kiril\Desktop\3labAP\dataset_2\tiger_0009.jpg;dataset_2\tiger_0009.jpg;tiger
10;C:\Users\kiril\Desktop\3labAP\dataset_2\tiger_0010.jpg;dataset_2\tiger_0010.jpg;tiger
11;C:\Users\kiril\Desktop\3labAP\dataset_2\tiger_0011.jpg;dataset_2\tiger_0011.jpg;tiger
12;C:\Users\kiril\Desktop\3labAP\dataset_2\tiger_0012.jpg;dataset_2\tiger_0012.jpg;tiger
13;C:\Users\kiril\Desktop\3labAP\dataset_2\tiger_0013.jpg;dataset_2\tiger_0013.jpg;tiger
14;C:\Users\kiril\Desktop\3labAP\dataset_2\tiger_0014.jpg;dataset_2\tiger_0014.jpg;tiger
15;C:\Users\kiril\Desktop\3labAP\dataset_2\tiger_0015.jpg;dataset_2\tiger_0015.jpg;tiger
16;C:\Users\kiril\Desktop\3labAP\dataset_2\tiger_0016.jpg;dataset_2\tiger_0016.jpg;tiger
17;C:\Users\kiril\Desktop\3labAP\dataset_2\tiger_0017.jpg;dataset_2\tiger_0017.jpg;tiger
18;C:\Users\kiril\Desktop\3labAP\dataset_2\tiger_0018.jpg;dataset_2\tiger_0018.jpg;tiger
19;C:\Users\kiril\Desktop\3labAP\dataset_2\tiger_0019.jpg;dataset_2\tiger_0019.jpg;tiger
20;C:\Users\kiril\Desktop\3labAP\dataset_2\tiger_0020.jpg;dataset_2\tiger_0020.jpg;tiger
21;C:\Users\kiril\Desktop\3labAP\dataset_2\tiger_0021.jpg;dataset_2\tiger_0021.jpg;tiger
22;C:\Users\kiril\Desktop\3labAP\dataset_2\tiger_0022.jpg;dataset_2\tiger_0022.jpg;tiger
23;C:\Users\kiril\Desktop\3labAP\dataset_2\tiger_0023.jpg;dataset_2\tiger_0023.jpg;tiger
24;C:\Users\kiril\Desktop\3labAP\dataset_2\tiger_0024.jpg;dataset_2\tiger_0024.jpg;tiger
25;C:\Users\kiril\Desktop\3labAP\dataset_2\tiger_0025.jpg;dataset_2\tiger_0025.jpg;tiger
26;C:\Users\kiril\Desktop\3labAP\dataset_2\tiger_0026.jpg;dataset_2\tiger_0026.jpg;tiger
27;C:\Users\kiril\Desktop\3labAP\dataset_2\tiger_0027.jpg;dataset_2\tiger_0027.jpg;tiger
28;C:\Users\kiril\Desktop\3labAP\dataset_2\tiger_0028.jpg;dataset_2\tiger_0028.jpg;tiger
29;C:\Users\kiril\Desktop\3labAP\dataset_2\tiger_0029.jpg;dataset_2\tiger_0029.jpg;tiger
30;C:\Users\kiril\Desktop\3labAP\dataset_2\tiger_0030.jpg;dataset_2\tiger_0030.jpg;tiger
31;C:\Users\kiril\Desktop\3labAP\dataset_2\tiger_0031.jpg;dataset_2\tiger_0031.jpg;tiger
32;C:\Users\kiril\Desktop\3labAP\dataset_2\tiger_0032.jpg;dataset_2\tiger_0032.jpg;tiger
33;C:\Users\kiril\Desktop\3labAP\dataset_2\tiger_0033.jpg;dataset_2\tiger_0033.jpg;tiger
34;C:\Users\kiril\Desktop\3labAP\dataset_2\tiger_0034.jpg;dataset_2\tiger_0034.jpg;tiger
35;C:\Users\kiril\Desktop\3labAP\dataset_2\tiger_0035.jpg;dataset_2\tiger_0035.jpg;tiger
36;C:\Users\kiril\Desktop\3labAP\dataset_2\tiger_0036.jpg;dataset_2\tiger_0036.jpg;tiger
37;C:\Users\kiril\Desktop\3labAP\dataset_2\tiger_0037.jpg;dataset_2\tiger_0037.jpg;tiger
38;C:\Users\kiril\Desktop\3labAP\dataset_2\tiger_0038.jpg;dataset_2\tiger_0038.jpg;tiger
39;C:\Users\kiril\Desktop\3labAP\dataset_2\tiger_0039.jpg;dataset_2\tiger_0039.jpg;tiger
40;C:\Users\kiril\Desktop\3labAP\dataset_2\tiger_0040.jpg;dataset_2\tiger_0040.jpg;tiger
41;C:\Users\kiril\Desktop\3labAP\dataset_2\tiger_0041.jpg;dataset_2\tiger_0041.jpg;tiger
42;C:\Users\kiril\Desktop\3labAP\dataset_2\tiger_0042.jpg;dataset_2\tiger_0042.jpg;tiger
43;C:\Users\kiril\Desktop\3labAP\dataset_2\tiger_0043.jpg;dataset_2\tiger_0043.jpg;tiger
44;C:\Users\kiril\Desktop\3labAP\dataset_2\tiger_0044.jpg;dataset_2\tiger_0044.jpg;tiger
